"Issue Area Tags
(pick ONE) ",Program,"COUNTA of Fellow/ Award Amount 
(total, incl suppl)"
Decentralization,Discretionary Awards,1
Decentralization,Fellow in Residence/ Senior Fellows,2
Decentralization,Mozilla Fellows,2
Decentralization,Mozilla Science Mini Grants,2
Decentralization,NSF WINS,10
Decentralization,Open Science Fellows,1
Decentralization,Other Programs,4
Decentralization,Tech Policy Fellows,2
Digital Inclusion,Advocacy Network Fund,10
Digital Inclusion,Discretionary Awards,17
Digital Inclusion,Fellow in Residence/ Senior Fellows,3
Digital Inclusion,Gigabit Community Fund,9
Digital Inclusion,Hive,36
Digital Inclusion,MOSS,12
Digital Inclusion,Mozilla Fellows,1
Digital Inclusion,Mozilla Science Mini Grants,1
Digital Inclusion,NSF WINS,11
Digital Inclusion,Open News Fellows,2
Digital Inclusion,Open Science Fellows,3
Digital Inclusion,Open Web Fellows,5
Digital Inclusion,Other Programs,9
Digital Inclusion,Tech + Society Fellows,3
Digital Inclusion,Tech Policy Fellows,3
Open Innovation,Discretionary Awards,12
Open Innovation,Fellow in Residence/ Senior Fellows,7
Open Innovation,Gigabit Community Fund,10
Open Innovation,MOSS,71
Open Innovation,Mozilla Fellows,2
Open Innovation,Mozilla Science Mini Grants,36
Open Innovation,Open News Fellows,5
Open Innovation,Open Science Fellows,17
Open Innovation,Open Web Fellows,3
Open Innovation,Other Programs,2
Open Innovation,Responsible CS Challenge,17
Open Innovation,Tech + Society Fellows,2
Open Innovation,Tech Policy Fellows,7
Other/unavailable,Discretionary Awards,24
Other/unavailable,Other Programs,2
Privacy+Security,Advocacy Network Fund,8
Privacy+Security,Creative Media Awards,7
Privacy+Security,Discretionary Awards,10
Privacy+Security,Fellow in Residence/ Senior Fellows,3
Privacy+Security,MOSS,50
Privacy+Security,Mozilla Fellows,3
Privacy+Security,Open Science Fellows,7
Privacy+Security,Open Web Fellows,18
Privacy+Security,Other Programs,6
Privacy+Security,Tech + Society Fellows,3
Privacy+Security,Tech Policy Fellows,6
Trustworthy AI,Creative Media Awards,9
Trustworthy AI,Discretionary Awards,1
Trustworthy AI,Fellow in Residence/ Senior Fellows,1
Trustworthy AI,Mozilla Fellows,6
Trustworthy AI,Mozilla Science Mini Grants,1
Web Literacy,Advocacy Network Fund,2
Web Literacy,Creative Media Awards,14
Web Literacy,Discretionary Awards,6
Web Literacy,Fellow in Residence/ Senior Fellows,6
Web Literacy,Gigabit Community Fund,38
Web Literacy,Hive,28
Web Literacy,Open Web Fellows,2
Web Literacy,Other Programs,10
Web Literacy,Tech + Society Fellows,2
Web Literacy,Tech Policy Fellows,2
